    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn   RPN:ChngeM    RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _           _      
         0f          0g          0c          2e         14e          1A         10A         17A    
     3.0000E-4      -30.000      336.990      -25.873       -0.51584  3.0000E-4       58.9740  -2.2957E-2  
     3.0000E-4      -29.700      337.020      -25.917       -0.4834   3.0000E-4       58.9990  -2.1503E-2  
     3.0000E-4      -29.400      337.040      -25.960       -0.45139  3.0000E-4       59.0250  -2.0069E-2  
     3.0000E-4      -29.100      337.070      -26.002       -0.4198   3.0000E-4       59.0500  -1.8656E-2  
     3.0000E-4      -28.800      337.090      -26.044       -0.38864  3.0000E-4       59.0750  -1.7263E-2  
     3.0000E-4      -28.500      337.110      -26.085       -0.3579   3.0000E-4       59.1000  -1.5891E-2  
     3.0000E-4      -28.200      337.140      -26.126       -0.3276   3.0000E-4       59.1250  -1.4538E-2  
     3.0000E-4      -27.900      337.160      -26.167       -0.29772  3.0000E-4       59.1500  -1.3206E-2  
     3.0000E-4      -27.600      337.180      -26.206       -0.26827  3.0000E-4       59.1740  -1.1895E-2  
     3.0000E-4      -27.300      337.210      -26.246       -0.23925  3.0000E-4       59.1990  -1.0603E-2  
     3.0000E-4      -27.000      337.230      -26.285       -0.21067  3.0000E-4       59.2240  -9.3320E-3  
     3.0000E-4      -26.700      337.260      -26.323       -0.18251  3.0000E-4       59.2480  -8.0811E-3  
     3.0000E-4      -26.400      337.280      -26.361       -0.15479  3.0000E-4       59.2720  -6.8506E-3  
     3.0000E-4      -26.100      337.300      -26.399       -0.1275   3.0000E-4       59.2970  -5.6402E-3  
     3.0000E-4      -25.800      337.320      -26.436       -0.10064  3.0000E-4       59.3210  -4.4502E-3  
     3.0000E-4      -25.500      337.350      -26.472   -7.4217E-2    3.0000E-4       59.3450  -3.2803E-3  
     3.0000E-4      -25.200      337.370      -26.508   -4.8229E-2    3.0000E-4       59.3680  -2.1308E-3  
     3.0000E-4      -24.900      337.390      -26.543   -2.2676E-2    3.0000E-4       59.3920  -1.0014E-3  
     3.0000E-4      -24.600      337.420      -26.578    2.4412E-3    3.0000E-4       59.4160   1.0776E-4  
     3.0000E-4      -24.300      337.440      -26.613    2.7122E-2    3.0000E-4       59.4390   1.1967E-3  
     3.0000E-4      -24.000      337.460      -26.647    5.1365E-2    3.0000E-4       59.4630   2.2654E-3  
     3.0000E-4      -23.700      337.480      -26.680    7.5171E-2    3.0000E-4       59.4860   3.3140E-3  
     3.0000E-4      -23.400      337.510      -26.713    9.8539E-2    3.0000E-4       59.5090   4.3424E-3  
     3.0000E-4      -23.100      337.530      -26.746        0.12147  3.0000E-4       59.5330   5.3506E-3  
     3.0000E-4      -22.800      337.550      -26.778        0.14396  3.0000E-4       59.5560   6.3387E-3  
     3.0000E-4      -22.500      337.570      -26.809        0.16601  3.0000E-4       59.5790   7.3066E-3  
     3.0000E-4      -22.200      337.590      -26.840        0.18762  3.0000E-4       59.6010   8.2544E-3  
     3.0000E-4      -21.900      337.620      -26.870        0.20879  3.0000E-4       59.6240   9.1820E-3  
     3.0000E-4      -21.600      337.640      -26.900        0.22951  3.0000E-4       59.6470   1.0090E-2  
     3.0000E-4      -21.300      337.660      -26.930        0.24980  3.0000E-4       59.6690   1.0977E-2  
     3.0000E-4      -21.000      337.680      -26.958        0.26964  3.0000E-4       59.6910   1.1844E-2  
     3.0000E-4      -20.700      337.700      -26.987        0.28904  3.0000E-4       59.7140   1.2692E-2  
     3.0000E-4      -20.400      337.720      -27.015        0.30800  3.0000E-4       59.7360   1.3519E-2  
     3.0000E-4      -20.100      337.740      -27.042        0.32652  3.0000E-4       59.7580   1.4326E-2  
     3.0000E-4      -19.800      337.770      -27.069        0.34459  3.0000E-4       59.7790   1.5113E-2  
     3.0000E-4      -19.500      337.790      -27.095        0.36221  3.0000E-4       59.8010   1.5880E-2  
     3.0000E-4      -19.200      337.810      -27.121        0.37940  3.0000E-4       59.8230   1.6628E-2  
     3.0000E-4      -18.900      337.830      -27.146        0.39613  3.0000E-4       59.8440   1.7355E-2  
     3.0000E-4      -18.600      337.850      -27.171        0.41243  3.0000E-4       59.8660   1.8062E-2  
     3.0000E-4      -18.300      337.870      -27.195        0.42827  3.0000E-4       59.8870   1.8749E-2  
     3.0000E-4      -18.000      337.890      -27.219        0.44367  3.0000E-4       59.9080   1.9416E-2  
     3.0000E-4      -17.700      337.910      -27.242        0.45863  3.0000E-4       59.9290   2.0064E-2  
     3.0000E-4      -17.400      337.930      -27.265        0.47314  3.0000E-4       59.9500   2.0691E-2  
     3.0000E-4      -17.100      337.950      -27.287        0.48720  3.0000E-4       59.9710   2.1299E-2  
     3.0000E-4      -16.800      337.970      -27.308        0.50081  3.0000E-4       59.9920   2.1886E-2  
     3.0000E-4      -16.500      337.990      -27.330        0.51398  3.0000E-4       60.0120   2.2454E-2  
     3.0000E-4      -16.200      338.010      -27.350        0.52670  3.0000E-4       60.0330   2.3002E-2  
     3.0000E-4      -15.900      338.030      -27.370        0.53897  3.0000E-4       60.0530   2.3530E-2  
     3.0000E-4      -15.600      338.050      -27.390        0.55079  3.0000E-4       60.0730   2.4038E-2  
     3.0000E-4      -15.300      338.070      -27.409        0.56216  3.0000E-4       60.0930   2.4526E-2  
     3.0000E-4      -15.000      338.090      -27.427        0.57309  3.0000E-4       60.1130   2.4995E-2  
     3.0000E-4      -14.700      338.110      -27.445        0.58357  3.0000E-4       60.1330   2.5444E-2  
     3.0000E-4      -14.400      338.130      -27.463        0.59360  3.0000E-4       60.1520   2.5873E-2  
     3.0000E-4      -14.100      338.150      -27.479        0.60318  3.0000E-4       60.1720   2.6282E-2  
     3.0000E-4      -13.800      338.170      -27.496        0.61231  3.0000E-4       60.1910   2.6672E-2  
     3.0000E-4      -13.500      338.190      -27.512        0.62099  3.0000E-4       60.2110   2.7042E-2  
     3.0000E-4      -13.200      338.200      -27.527        0.62922  3.0000E-4       60.2300   2.7392E-2  
     3.0000E-4      -12.900      338.220      -27.542        0.63700  3.0000E-4       60.2490   2.7722E-2  
     3.0000E-4      -12.600      338.240      -27.556        0.64434  3.0000E-4       60.2680   2.8033E-2  
     3.0000E-4      -12.300      338.260      -27.570        0.65122  3.0000E-4       60.2870   2.8324E-2  
     3.0000E-4      -12.000      338.280      -27.583        0.65766  3.0000E-4       60.3050   2.8596E-2  
     3.0000E-4      -11.700      338.300      -27.596        0.66364  3.0000E-4       60.3240   2.8848E-2  
     3.0000E-4      -11.400      338.320      -27.608        0.66917  3.0000E-4       60.3420   2.9080E-2  
     3.0000E-4      -11.100      338.330      -27.619        0.67426  3.0000E-4       60.3600   2.9293E-2  
     3.0000E-4      -10.800      338.350      -27.630        0.67889  3.0000E-4       60.3780   2.9486E-2  
     3.0000E-4      -10.500      338.370      -27.641        0.68308  3.0000E-4       60.3960   2.9660E-2  
     3.0000E-4      -10.200      338.390      -27.651        0.68681  3.0000E-4       60.4140   2.9814E-2  
     3.0000E-4       -9.9000     338.400      -27.660        0.69010  3.0000E-4       60.4320   2.9949E-2  
     3.0000E-4       -9.6000     338.420      -27.669        0.69294  3.0000E-4       60.4490   3.0064E-2  
     3.0000E-4       -9.3000     338.440      -27.678        0.69532  3.0000E-4       60.4670   3.0160E-2  
     3.0000E-4       -9.0000     338.460      -27.686        0.69726  3.0000E-4       60.4840   3.0236E-2  
     3.0000E-4       -8.7000     338.470      -27.693        0.69875  3.0000E-4       60.5010   3.0293E-2  
     3.0000E-4       -8.4000     338.490      -27.700        0.69978  3.0000E-4       60.5180   3.0331E-2  
     3.0000E-4       -8.1000     338.510      -27.706        0.70037  3.0000E-4       60.5350   3.0349E-2  
     3.0000E-4       -7.8000     338.520      -27.712        0.70051  3.0000E-4       60.5520   3.0348E-2  
     3.0000E-4       -7.5000     338.540      -27.717        0.70020  3.0000E-4       60.5680   3.0327E-2  
     3.0000E-4       -7.2000     338.560      -27.722        0.69944  3.0000E-4       60.5850   3.0287E-2  
     3.0000E-4       -6.9000     338.570      -27.726        0.69823  3.0000E-4       60.6010   3.0228E-2  
     3.0000E-4       -6.6000     338.590      -27.730        0.69658  3.0000E-4       60.6170   3.0149E-2  
     3.0000E-4       -6.3000     338.610      -27.733        0.69447  3.0000E-4       60.6330   3.0052E-2  
     3.0000E-4       -6.0000     338.620      -27.735        0.69192  3.0000E-4       60.6490   2.9935E-2  
     3.0000E-4       -5.7000     338.640      -27.737        0.68892  3.0000E-4       60.6650   2.9799E-2  
