    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT    RPN:ChngeM 
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4      -15.000      335.610      -14.648      -10.151      -57.211       -0.48604
     1.0000E-4      -14.850      335.620      -14.651      -10.149      -57.215       -0.48593
     1.0000E-4      -14.700      335.620      -14.653      -10.147      -57.220       -0.48582
     1.0000E-4      -14.550      335.630      -14.656      -10.145      -57.224       -0.48572
     1.0000E-4      -14.400      335.630      -14.659      -10.144      -57.228       -0.48562
     1.0000E-4      -14.250      335.630      -14.661      -10.142      -57.232       -0.48552
     1.0000E-4      -14.100      335.640      -14.664      -10.140      -57.236       -0.48542
     1.0000E-4      -13.950      335.640      -14.666      -10.139      -57.240       -0.48532
     1.0000E-4      -13.800      335.650      -14.669      -10.137      -57.244       -0.48523
     1.0000E-4      -13.650      335.650      -14.671      -10.136      -57.248       -0.48514
     1.0000E-4      -13.500      335.650      -14.674      -10.134      -57.252       -0.48505
     1.0000E-4      -13.350      335.660      -14.676      -10.133      -57.255       -0.48496
     1.0000E-4      -13.200      335.660      -14.678      -10.132      -57.259       -0.48487
     1.0000E-4      -13.050      335.660      -14.680      -10.130      -57.263       -0.48479
     1.0000E-4      -12.900      335.670      -14.683      -10.129      -57.267       -0.48471
     1.0000E-4      -12.750      335.670      -14.685      -10.128      -57.271       -0.48462
     1.0000E-4      -12.600      335.680      -14.687      -10.127      -57.275       -0.48455
     1.0000E-4      -12.450      335.680      -14.689      -10.125      -57.279       -0.48447
     1.0000E-4      -12.300      335.680      -14.691      -10.124      -57.282       -0.48439
     1.0000E-4      -12.150      335.690      -14.693      -10.123      -57.286       -0.48432
     1.0000E-4      -12.000      335.690      -14.695      -10.122      -57.290       -0.48425
     1.0000E-4      -11.850      335.700      -14.697      -10.121      -57.294       -0.48418
     1.0000E-4      -11.700      335.700      -14.699      -10.120      -57.297       -0.48411
     1.0000E-4      -11.550      335.700      -14.701      -10.119      -57.301       -0.48404
     1.0000E-4      -11.400      335.710      -14.702      -10.118      -57.305       -0.48398
     1.0000E-4      -11.250      335.710      -14.704      -10.117      -57.308       -0.48392
