    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     4.0000E-3      -15.000      340.530     -274.26       189.760       68.8290       2.35410
     4.0000E-3      -14.850      340.540     -274.42       189.860       68.8480       2.35370
     4.0000E-3      -14.700      340.550     -274.58       189.970       68.8680       2.35340
     4.0000E-3      -14.550      340.560     -274.73       190.070       68.8870       2.35300
     4.0000E-3      -14.400      340.560     -274.89       190.160       68.9060       2.35260
     4.0000E-3      -14.250      340.570     -275.04       190.260       68.9250       2.35220
     4.0000E-3      -14.100      340.580     -275.19       190.360       68.9440       2.35170
     4.0000E-3      -13.950      340.590     -275.34       190.450       68.9630       2.35130
     4.0000E-3      -13.800      340.600     -275.48       190.540       68.9810       2.35090
     4.0000E-3      -13.650      340.610     -275.63       190.630       69.0000       2.35050
     4.0000E-3      -13.500      340.620     -275.77       190.720       69.0180       2.35000
     4.0000E-3      -13.350      340.630     -275.91       190.810       69.0370       2.34960
     4.0000E-3      -13.200      340.640     -276.05       190.900       69.0550       2.34910
     4.0000E-3      -13.050      340.640     -276.19       190.980       69.0730       2.34870
     4.0000E-3      -12.900      340.650     -276.32       191.070       69.0910       2.34820
     4.0000E-3      -12.750      340.660     -276.46       191.150       69.1090       2.34770
     4.0000E-3      -12.600      340.670     -276.59       191.230       69.1270       2.34730
     4.0000E-3      -12.450      340.680     -276.72       191.310       69.1450       2.34680
     4.0000E-3      -12.300      340.690     -276.84       191.380       69.1620       2.34630
     4.0000E-3      -12.150      340.690     -276.97       191.460       69.1800       2.34580
     4.0000E-3      -12.000      340.700     -277.09       191.530       69.1970       2.34530
     4.0000E-3      -11.850      340.710     -277.22       191.610       69.2140       2.34480
     4.0000E-3      -11.700      340.720     -277.33       191.680       69.2320       2.34430
     4.0000E-3      -11.550      340.730     -277.45       191.750       69.2490       2.34370
     4.0000E-3      -11.400      340.730     -277.57       191.820       69.2660       2.34320
     4.0000E-3      -11.250      340.740     -277.68       191.880       69.2830       2.34270
     4.0000E-3      -11.100      340.750     -277.79       191.950       69.2990       2.34210
     4.0000E-3      -10.950      340.760     -277.90       192.010       69.3160       2.34160
