    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4      -30.000      335.130      -14.169      -10.508      -56.719       -0.50602
     1.0000E-4      -29.700      335.140      -14.182      -10.497      -56.730       -0.50545
     1.0000E-4      -29.400      335.160      -14.195      -10.487      -56.741       -0.50488
     1.0000E-4      -29.100      335.170      -14.209      -10.477      -56.753       -0.50431
     1.0000E-4      -28.800      335.180      -14.222      -10.466      -56.764       -0.50376
     1.0000E-4      -28.500      335.190      -14.234      -10.456      -56.775       -0.50321
     1.0000E-4      -28.200      335.200      -14.247      -10.446      -56.786       -0.50267
     1.0000E-4      -27.900      335.210      -14.260      -10.437      -56.797       -0.50213
     1.0000E-4      -27.600      335.220      -14.272      -10.427      -56.808       -0.5016 
     1.0000E-4      -27.300      335.230      -14.284      -10.418      -56.819       -0.50108
     1.0000E-4      -27.000      335.240      -14.296      -10.408      -56.830       -0.50057
     1.0000E-4      -26.700      335.250      -14.308      -10.399      -56.840       -0.50007
     1.0000E-4      -26.400      335.260      -14.320      -10.390      -56.851       -0.49957
     1.0000E-4      -26.100      335.270      -14.332      -10.381      -56.862       -0.49908
     1.0000E-4      -25.800      335.280      -14.343      -10.372      -56.872       -0.49859
     1.0000E-4      -25.500      335.290      -14.354      -10.364      -56.883       -0.49811
     1.0000E-4      -25.200      335.300      -14.365      -10.355      -56.893       -0.49764
     1.0000E-4      -24.900      335.310      -14.376      -10.347      -56.904       -0.49718
     1.0000E-4      -24.600      335.320      -14.387      -10.339      -56.914       -0.49673
     1.0000E-4      -24.300      335.330      -14.398      -10.331      -56.924       -0.49628
     1.0000E-4      -24.000      335.340      -14.408      -10.323      -56.935       -0.49584
     1.0000E-4      -23.700      335.350      -14.419      -10.315      -56.945       -0.49541
     1.0000E-4      -23.400      335.360      -14.429      -10.307      -56.955       -0.49498
     1.0000E-4      -23.100      335.370      -14.439      -10.300      -56.965       -0.49456
     1.0000E-4      -22.800      335.380      -14.449      -10.292      -56.975       -0.49415
     1.0000E-4      -22.500      335.390      -14.458      -10.285      -56.985       -0.49374
